//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
5.711586E+00	2.107305E+01	2.028095E+03	1.500000E+03
5.771135E+00	2.107467E+01	2.028100E+03	1.500000E+03
5.831305E+00	2.107631E+01	2.028106E+03	1.500000E+03
5.892102E+00	2.107797E+01	2.028111E+03	1.500000E+03
5.953533E+00	2.107964E+01	2.028117E+03	1.500000E+03
6.015605E+00	2.108133E+01	2.028122E+03	1.500000E+03
6.078323E+00	2.108304E+01	2.028128E+03	1.500000E+03
6.141696E+00	2.108476E+01	2.028134E+03	1.500000E+03
6.205729E+00	2.108651E+01	2.028140E+03	1.500000E+03
6.270430E+00	2.108827E+01	2.028145E+03	1.500000E+03
6.335805E+00	2.109005E+01	2.028151E+03	1.500000E+03
6.401862E+00	2.109185E+01	2.028157E+03	1.500000E+03
6.468608E+00	2.109367E+01	2.028163E+03	1.500000E+03
6.536049E+00	2.109550E+01	2.028169E+03	1.500000E+03
6.604194E+00	2.109736E+01	2.028175E+03	1.500000E+03
6.673049E+00	2.109923E+01	2.028182E+03	1.500000E+03
6.742622E+00	2.110113E+01	2.028188E+03	1.500000E+03
6.812921E+00	2.110304E+01	2.028194E+03	1.500000E+03
6.883952E+00	2.110498E+01	2.028200E+03	1.500000E+03
6.955724E+00	2.110693E+01	2.028207E+03	1.500000E+03
7.028244E+00	2.110891E+01	2.028213E+03	1.500000E+03
7.101521E+00	2.111090E+01	2.028220E+03	1.500000E+03
7.175561E+00	2.111292E+01	2.028227E+03	1.500000E+03
7.250373E+00	2.111496E+01	2.028233E+03	1.500000E+03
7.325965E+00	2.111701E+01	2.028240E+03	1.500000E+03
7.402346E+00	2.111909E+01	2.028247E+03	1.500000E+03
7.479523E+00	2.112120E+01	2.028254E+03	1.500000E+03
7.557504E+00	2.112332E+01	2.028261E+03	1.500000E+03
7.636298E+00	2.112547E+01	2.028268E+03	1.500000E+03
7.715914E+00	2.112763E+01	2.028275E+03	1.500000E+03
7.796360E+00	2.112982E+01	2.028283E+03	1.500000E+03
7.877645E+00	2.113204E+01	2.028290E+03	1.500000E+03
7.959777E+00	2.113427E+01	2.028297E+03	1.500000E+03
8.042765E+00	2.113653E+01	2.028305E+03	1.500000E+03
8.126619E+00	2.113882E+01	2.028312E+03	1.500000E+03
8.211347E+00	2.114113E+01	2.028320E+03	1.500000E+03
8.296959E+00	2.114346E+01	2.028328E+03	1.500000E+03
8.383462E+00	2.114581E+01	2.028335E+03	1.500000E+03
8.470868E+00	2.114819E+01	2.028343E+03	1.500000E+03
8.559185E+00	2.115060E+01	2.028351E+03	1.500000E+03
8.648423E+00	2.115303E+01	2.028359E+03	1.500000E+03
8.738592E+00	2.115548E+01	2.028367E+03	1.500000E+03
8.829700E+00	2.115796E+01	2.028375E+03	1.500000E+03
8.921758E+00	2.116047E+01	2.028384E+03	1.500000E+03
9.014776E+00	2.116300E+01	2.028392E+03	1.500000E+03
9.108764E+00	2.116556E+01	2.028400E+03	1.500000E+03
9.203732E+00	2.116815E+01	2.028409E+03	1.500000E+03
9.299690E+00	2.117076E+01	2.028418E+03	1.500000E+03
