//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
1.697187E+03	2.314225E+10	2.286668E+04	6.500000E+03
1.750827E+03	2.494096E+10	2.353453E+04	6.500000E+03
1.806162E+03	2.683787E+10	2.420768E+04	6.500000E+03
1.863246E+03	2.883715E+10	2.488535E+04	6.500000E+03
1.922135E+03	3.094438E+10	2.556767E+04	6.500000E+03
1.982884E+03	3.316472E+10	2.625420E+04	6.500000E+03
2.045553E+03	3.550372E+10	2.694451E+04	6.500000E+03
2.110203E+03	3.796456E+10	2.763708E+04	6.500000E+03
2.176897E+03	4.055619E+10	2.833195E+04	6.500000E+03
2.245698E+03	4.328982E+10	2.902990E+04	6.500000E+03
2.316674E+03	4.617048E+10	2.972810E+04	6.500000E+03
2.389893E+03	4.921416E+10	3.042793E+04	6.500000E+03
2.465426E+03	5.243386E+10	3.112776E+04	6.500000E+03
2.543346E+03	5.584742E+10	3.182744E+04	6.500000E+03
2.623729E+03	5.947751E+10	3.252541E+04	6.500000E+03
2.706652E+03	6.335077E+10	3.322232E+04	6.500000E+03
2.792196E+03	6.750142E+10	3.391584E+04	6.500000E+03
2.880444E+03	7.197351E+10	3.460552E+04	6.500000E+03
2.971481E+03	7.681799E+10	3.529081E+04	6.500000E+03
3.065395E+03	8.211389E+10	3.597240E+04	6.500000E+03
3.162278E+03	8.791865E+10	3.664544E+04	6.500000E+03
3.262222E+03	9.435070E+10	3.731048E+04	6.500000E+03
3.365325E+03	1.015031E+11	3.796620E+04	6.500000E+03
3.471687E+03	1.090515E+11	3.861262E+04	6.500000E+03
3.581410E+03	1.168711E+11	3.925021E+04	6.500000E+03
3.694601E+03	1.250268E+11	3.987991E+04	6.500000E+03
3.811370E+03	1.335979E+11	4.050162E+04	6.500000E+03
3.931829E+03	1.426601E+11	4.111657E+04	6.500000E+03
4.056095E+03	1.522932E+11	4.172560E+04	6.500000E+03
4.184289E+03	1.626020E+11	4.232859E+04	6.500000E+03
4.316534E+03	1.736742E+11	4.292653E+04	6.500000E+03
4.452959E+03	1.856142E+11	4.352004E+04	6.500000E+03
4.593695E+03	1.985511E+11	4.410894E+04	6.500000E+03
4.738880E+03	2.068033E+11	4.469398E+04	6.500000E+03
4.888653E+03	2.117595E+11	4.527570E+04	6.500000E+03
5.043159E+03	2.332205E+11	4.585459E+04	6.500000E+03
5.202549E+03	2.601723E+11	4.656028E+04	6.500000E+03
5.366977E+03	2.926538E+11	4.756468E+04	6.500000E+03
5.536601E+03	3.293909E+11	4.857080E+04	6.500000E+03
5.711586E+03	3.709128E+11	4.962125E+04	6.500000E+03
5.892102E+03	4.173439E+11	5.068504E+04	6.500000E+03
6.078323E+03	4.689539E+11	5.175131E+04	6.500000E+03
6.270430E+03	5.260312E+11	5.282101E+04	6.500000E+03
6.468608E+03	5.889335E+11	5.389449E+04	6.500000E+03
6.673049E+03	6.580264E+11	5.497170E+04	6.500000E+03
6.883952E+03	7.336893E+11	5.605340E+04	6.500000E+03
7.101521E+03	8.163187E+11	5.713987E+04	6.500000E+03
7.325965E+03	9.064120E+11	5.823065E+04	6.500000E+03
7.557504E+03	1.004347E+12	5.932671E+04	6.500000E+03
7.796360E+03	1.110657E+12	6.042853E+04	6.500000E+03
8.042765E+03	1.225873E+12	6.153517E+04	6.500000E+03
8.296959E+03	1.350509E+12	6.264782E+04	6.500000E+03
8.559185E+03	1.485193E+12	6.376609E+04	6.500000E+03
8.829700E+03	1.630524E+12	6.489036E+04	6.500000E+03
9.108764E+03	1.787139E+12	6.602062E+04	6.500000E+03
9.396648E+03	1.955759E+12	6.715699E+04	6.500000E+03
9.693631E+03	2.137139E+12	6.829955E+04	6.500000E+03
1.000000E+04	2.332040E+12	6.944832E+04	6.500000E+03
1.031605E+04	2.541344E+12	7.060298E+04	6.500000E+03
1.064209E+04	2.765883E+12	7.176423E+04	6.500000E+03
1.097844E+04	3.006636E+12	7.293171E+04	6.500000E+03
1.132541E+04	3.264578E+12	7.410529E+04	6.500000E+03
1.168335E+04	3.540778E+12	7.528525E+04	6.500000E+03
1.205261E+04	3.836350E+12	7.647127E+04	6.500000E+03
1.243353E+04	4.152540E+12	7.766353E+04	6.500000E+03
1.282650E+04	4.490561E+12	7.886203E+04	6.500000E+03
1.323188E+04	4.851766E+12	8.006617E+04	6.500000E+03
1.365008E+04	5.237571E+12	8.127654E+04	6.500000E+03
1.408149E+04	5.649559E+12	8.249301E+04	6.500000E+03
1.452654E+04	6.089251E+12	8.371491E+04	6.500000E+03
1.498565E+04	6.558383E+12	8.494258E+04	6.500000E+03
1.545928E+04	7.059056E+12	8.617545E+04	6.500000E+03
1.594787E+04	7.592577E+12	8.741431E+04	6.500000E+03
1.645191E+04	8.161317E+12	8.865868E+04	6.500000E+03
1.697187E+04	8.767309E+12	8.990854E+04	6.500000E+03
1.750827E+04	9.413228E+12	9.116279E+04	6.500000E+03
1.806162E+04	1.010097E+13	9.242276E+04	6.500000E+03
1.863246E+04	1.083332E+13	9.368749E+04	6.500000E+03
1.922135E+04	1.161310E+13	9.495662E+04	6.500000E+03
1.982884E+04	1.244317E+13	9.623086E+04	6.500000E+03
2.045553E+04	1.332665E+13	9.750875E+04	6.500000E+03
2.110203E+04	1.426676E+13	9.879174E+04	6.500000E+03
2.176897E+04	1.527341E+13	1.004172E+05	6.500000E+03
2.245698E+04	1.635888E+13	1.027519E+05	6.500000E+03
2.316674E+04	1.751306E+13	1.051168E+05	6.500000E+03
2.389893E+04	1.874330E+13	1.076163E+05	6.500000E+03
2.465426E+04	2.005143E+13	1.101368E+05	6.500000E+03
2.543346E+04	2.144201E+13	1.126726E+05	6.500000E+03
2.623729E+04	2.292021E+13	1.152248E+05	6.500000E+03
2.706652E+04	2.449132E+13	1.177912E+05	6.500000E+03
2.792196E+04	2.616070E+13	1.203741E+05	6.500000E+03
2.880444E+04	2.793414E+13	1.229729E+05	6.500000E+03
2.971481E+04	2.981873E+13	1.255853E+05	6.500000E+03
3.065395E+04	3.182752E+13	1.282053E+05	6.500000E+03
3.162278E+04	3.395368E+13	1.308477E+05	6.500000E+03
