//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
8.042765E-08	9.450783E-02	1.591522E+03	3.200000E+03
8.296959E-08	9.382588E-02	1.592777E+03	3.200000E+03
8.559185E-08	9.314885E-02	1.594033E+03	3.200000E+03
8.829700E-08	9.247670E-02	1.595290E+03	3.200000E+03
9.108764E-08	9.180941E-02	1.596549E+03	3.200000E+03
9.396648E-08	9.114693E-02	1.597808E+03	3.200000E+03
9.693631E-08	9.048923E-02	1.599068E+03	3.200000E+03
1.000000E-07	8.983628E-02	1.600329E+03	3.200000E+03
1.031605E-07	8.258834E-02	1.601460E+03	3.200000E+03
1.064209E-07	7.592516E-02	1.602592E+03	3.200000E+03
1.097844E-07	6.979956E-02	1.603724E+03	3.200000E+03
1.132541E-07	6.416817E-02	1.604858E+03	3.200000E+03
1.168335E-07	5.899112E-02	1.605992E+03	3.200000E+03
1.205261E-07	5.423175E-02	1.607127E+03	3.200000E+03
1.243353E-07	4.985637E-02	1.608263E+03	3.200000E+03
1.282650E-07	4.583399E-02	1.609400E+03	3.200000E+03
1.323188E-07	4.213613E-02	1.610538E+03	3.200000E+03
1.365008E-07	3.873661E-02	1.611676E+03	3.200000E+03
1.408149E-07	3.561136E-02	1.612815E+03	3.200000E+03
1.452654E-07	3.273826E-02	1.613955E+03	3.200000E+03
1.498565E-07	3.009695E-02	1.615096E+03	3.200000E+03
1.545928E-07	2.766875E-02	1.616237E+03	3.200000E+03
1.594787E-07	2.502291E-02	1.617443E+03	3.200000E+03
1.645191E-07	2.119449E-02	1.618903E+03	3.200000E+03
1.697187E-07	1.795181E-02	1.620365E+03	3.200000E+03
1.750827E-07	1.520525E-02	1.621828E+03	3.200000E+03
1.806162E-07	1.287890E-02	1.623292E+03	3.200000E+03
1.863246E-07	1.090847E-02	1.624757E+03	3.200000E+03
1.922135E-07	9.239511E-03	1.626224E+03	3.200000E+03
1.982884E-07	7.825898E-03	1.627692E+03	3.200000E+03
2.045553E-07	6.628563E-03	1.629161E+03	3.200000E+03
2.110203E-07	5.614416E-03	1.630632E+03	3.200000E+03
2.176897E-07	4.755430E-03	1.632104E+03	3.200000E+03
2.245698E-07	4.027866E-03	1.633578E+03	3.200000E+03
2.316674E-07	3.411616E-03	1.635052E+03	3.200000E+03
2.389893E-07	2.889651E-03	1.636528E+03	3.200000E+03
2.465426E-07	2.447544E-03	1.638006E+03	3.200000E+03
2.543346E-07	2.239827E-03	1.639449E+03	3.200000E+03
2.623729E-07	2.302002E-03	1.640839E+03	3.200000E+03
2.706652E-07	2.365904E-03	1.642231E+03	3.200000E+03
2.792196E-07	2.431579E-03	1.643624E+03	3.200000E+03
2.880444E-07	2.499078E-03	1.645018E+03	3.200000E+03
2.971481E-07	2.568450E-03	1.646414E+03	3.200000E+03
3.065395E-07	2.639748E-03	1.647810E+03	3.200000E+03
3.162278E-07	2.713025E-03	1.649208E+03	3.200000E+03
3.262222E-07	2.788336E-03	1.650607E+03	3.200000E+03
3.365325E-07	2.865738E-03	1.652007E+03	3.200000E+03
3.471687E-07	2.945289E-03	1.653408E+03	3.200000E+03
3.581410E-07	3.027047E-03	1.654811E+03	3.200000E+03
3.694601E-07	3.111076E-03	1.656214E+03	3.200000E+03
3.811370E-07	3.197437E-03	1.657619E+03	3.200000E+03
3.931829E-07	3.286195E-03	1.659025E+03	3.200000E+03
4.056095E-07	3.377629E-03	1.660336E+03	3.200000E+03
4.184289E-07	3.471754E-03	1.661582E+03	3.200000E+03
4.316534E-07	3.568502E-03	1.662830E+03	3.200000E+03
4.452959E-07	3.667946E-03	1.664079E+03	3.200000E+03
4.593695E-07	3.770161E-03	1.665328E+03	3.200000E+03
4.738880E-07	3.875224E-03	1.666579E+03	3.200000E+03
4.888653E-07	3.983215E-03	1.667830E+03	3.200000E+03
5.043159E-07	4.094216E-03	1.669083E+03	3.200000E+03
5.202549E-07	4.208310E-03	1.670336E+03	3.200000E+03
5.366977E-07	4.325583E-03	1.671590E+03	3.200000E+03
5.536601E-07	4.446125E-03	1.672846E+03	3.200000E+03
5.711586E-07	4.570026E-03	1.674102E+03	3.200000E+03
5.892102E-07	4.697379E-03	1.675359E+03	3.200000E+03
6.078323E-07	4.828281E-03	1.676617E+03	3.200000E+03
6.270430E-07	4.962832E-03	1.677876E+03	3.200000E+03
6.468608E-07	5.099036E-03	1.679162E+03	3.200000E+03
6.673049E-07	5.238441E-03	1.680456E+03	3.200000E+03
6.883952E-07	5.381657E-03	1.681751E+03	3.200000E+03
7.101521E-07	5.528789E-03	1.683046E+03	3.200000E+03
7.325965E-07	5.679943E-03	1.684343E+03	3.200000E+03
7.557504E-07	5.835230E-03	1.685641E+03	3.200000E+03
7.796360E-07	5.994762E-03	1.686940E+03	3.200000E+03
8.042765E-07	6.158655E-03	1.688239E+03	3.200000E+03
8.296959E-07	6.327030E-03	1.689540E+03	3.200000E+03
8.559185E-07	6.500007E-03	1.690842E+03	3.200000E+03
8.829700E-07	6.677714E-03	1.692144E+03	3.200000E+03
9.108764E-07	6.860279E-03	1.693448E+03	3.200000E+03
9.396648E-07	7.047835E-03	1.694753E+03	3.200000E+03
9.693631E-07	7.240519E-03	1.696059E+03	3.200000E+03
1.000000E-06	7.438471E-03	1.697365E+03	3.200000E+03
1.031605E-06	7.631233E-03	1.698865E+03	3.200000E+03
1.064209E-06	7.828990E-03	1.700365E+03	3.200000E+03
1.097844E-06	8.031871E-03	1.701867E+03	3.200000E+03
1.132541E-06	8.240010E-03	1.703370E+03	3.200000E+03
1.168335E-06	8.453543E-03	1.704875E+03	3.200000E+03
1.205261E-06	8.672610E-03	1.706381E+03	3.200000E+03
1.243353E-06	8.897353E-03	1.707888E+03	3.200000E+03
1.282650E-06	9.127920E-03	1.709397E+03	3.200000E+03
1.323188E-06	9.364462E-03	1.710906E+03	3.200000E+03
1.365008E-06	9.607135E-03	1.712418E+03	3.200000E+03
1.408149E-06	9.856095E-03	1.713930E+03	3.200000E+03
1.452654E-06	1.011151E-02	1.715444E+03	3.200000E+03
1.498565E-06	1.037354E-02	1.716959E+03	3.200000E+03
1.545928E-06	1.064236E-02	1.718476E+03	3.200000E+03
1.594787E-06	1.091765E-02	1.719960E+03	3.200000E+03
1.645191E-06	1.119802E-02	1.721311E+03	3.200000E+03
1.697187E-06	1.148559E-02	1.722664E+03	3.200000E+03
1.750827E-06	1.178055E-02	1.724017E+03	3.200000E+03
1.806162E-06	1.208308E-02	1.725372E+03	3.200000E+03
1.863246E-06	1.239337E-02	1.726727E+03	3.200000E+03
1.922135E-06	1.271164E-02	1.728084E+03	3.200000E+03
1.982884E-06	1.303808E-02	1.729441E+03	3.200000E+03
2.045553E-06	1.337291E-02	1.730800E+03	3.200000E+03
2.110203E-06	1.371633E-02	1.732160E+03	3.200000E+03
2.176897E-06	1.406857E-02	1.733521E+03	3.200000E+03
2.245698E-06	1.442986E-02	1.734883E+03	3.200000E+03
